hour_index,recorded_requests,input_tokens,output_tokens,zero_output_requests,Model,Log Type,is_last_partial_hour
262,0,0,0,0,ChatGPT,API log,False
263,0,0,0,0,ChatGPT,API log,False
264,0,0,0,0,ChatGPT,API log,False
265,0,0,0,0,ChatGPT,API log,False
266,0,0,0,0,ChatGPT,API log,False
267,0,0,0,0,ChatGPT,API log,False
268,0,0,0,0,ChatGPT,API log,False
269,0,0,0,0,ChatGPT,API log,False
270,0,0,0,0,ChatGPT,API log,False
271,0,0,0,0,ChatGPT,API log,False
272,0,0,0,0,ChatGPT,API log,False
273,0,0,0,0,ChatGPT,API log,False
274,0,0,0,0,ChatGPT,API log,False
275,0,0,0,0,ChatGPT,API log,False
276,0,0,0,0,ChatGPT,API log,False
277,200,50056,1213,0,ChatGPT,API log,False
278,800,726761,40643,0,ChatGPT,API log,False
279,403,337890,2234,0,ChatGPT,API log,False
280,0,0,0,0,ChatGPT,API log,False
281,0,0,0,0,ChatGPT,API log,False
282,0,0,0,0,ChatGPT,API log,False
283,0,0,0,0,ChatGPT,API log,False
284,0,0,0,0,ChatGPT,API log,False
285,0,0,0,0,ChatGPT,API log,False
286,0,0,0,0,ChatGPT,API log,False
287,0,0,0,0,ChatGPT,API log,False
288,0,0,0,0,ChatGPT,API log,False
289,0,0,0,0,ChatGPT,API log,False
290,0,0,0,0,ChatGPT,API log,False
291,0,0,0,0,ChatGPT,API log,False
292,0,0,0,0,ChatGPT,API log,False
293,0,0,0,0,ChatGPT,API log,False
294,0,0,0,0,ChatGPT,API log,False
295,0,0,0,0,ChatGPT,API log,False
296,0,0,0,0,ChatGPT,API log,False
297,0,0,0,0,ChatGPT,API log,False
298,0,0,0,0,ChatGPT,API log,False
299,0,0,0,0,ChatGPT,API log,False
300,0,0,0,0,ChatGPT,API log,False
301,233,467766,41263,0,ChatGPT,API log,False
302,1399,2831552,245228,3,ChatGPT,API log,False
303,1134,2366979,200187,0,ChatGPT,API log,False
304,193,408056,34165,0,ChatGPT,API log,False
305,0,0,0,0,ChatGPT,API log,False
306,0,0,0,0,ChatGPT,API log,False
307,0,0,0,0,ChatGPT,API log,False
308,0,0,0,0,ChatGPT,API log,False
309,0,0,0,0,ChatGPT,API log,False
310,0,0,0,0,ChatGPT,API log,False
311,819,1332500,109741,0,ChatGPT,API log,False
312,1138,1840190,155404,6,ChatGPT,API log,False
313,733,1203985,104161,1,ChatGPT,API log,False
314,0,0,0,0,ChatGPT,API log,False
315,0,0,0,0,ChatGPT,API log,False
316,0,0,0,0,ChatGPT,API log,False
317,0,0,0,0,ChatGPT,API log,False
318,0,0,0,0,ChatGPT,API log,False
319,0,0,0,0,ChatGPT,API log,False
320,0,0,0,0,ChatGPT,API log,False
321,0,0,0,0,ChatGPT,API log,False
322,0,0,0,0,ChatGPT,API log,False
323,0,0,0,0,ChatGPT,API log,False
324,0,0,0,0,ChatGPT,API log,False
325,0,0,0,0,ChatGPT,API log,False
326,0,0,0,0,ChatGPT,API log,False
327,0,0,0,0,ChatGPT,API log,False
328,0,0,0,0,ChatGPT,API log,False
329,0,0,0,0,ChatGPT,API log,False
330,0,0,0,0,ChatGPT,API log,False
331,0,0,0,0,ChatGPT,API log,False
332,0,0,0,0,ChatGPT,API log,False
333,0,0,0,0,ChatGPT,API log,False
334,0,0,0,0,ChatGPT,API log,False
335,0,0,0,0,ChatGPT,API log,False
336,0,0,0,0,ChatGPT,API log,False
337,0,0,0,0,ChatGPT,API log,False
338,0,0,0,0,ChatGPT,API log,False
339,0,0,0,0,ChatGPT,API log,False
340,0,0,0,0,ChatGPT,API log,False
341,0,0,0,0,ChatGPT,API log,False
342,0,0,0,0,ChatGPT,API log,False
343,0,0,0,0,ChatGPT,API log,False
344,0,0,0,0,ChatGPT,API log,False
345,0,0,0,0,ChatGPT,API log,False
346,0,0,0,0,ChatGPT,API log,False
347,0,0,0,0,ChatGPT,API log,False
348,8,104,40,0,ChatGPT,API log,False
349,11540,721441,44109,0,ChatGPT,API log,False
350,29058,3674003,414575,2,ChatGPT,API log,False
351,14805,7854361,1956275,11,ChatGPT,API log,False
352,9578,1737019,1198048,1,ChatGPT,API log,False
353,2062,2422612,308719,1,ChatGPT,API log,False
354,343,429598,54451,1,ChatGPT,API log,False
355,568,551942,75913,4,ChatGPT,API log,False
356,2521,2831050,369975,24,ChatGPT,API log,False
357,2056,2120787,343259,0,ChatGPT,API log,False
358,5,464,340,0,ChatGPT,API log,False
359,0,0,0,0,ChatGPT,API log,False
360,0,0,0,0,ChatGPT,API log,False
361,0,0,0,0,ChatGPT,API log,False
362,0,0,0,0,ChatGPT,API log,False
363,0,0,0,0,ChatGPT,API log,False
364,0,0,0,0,ChatGPT,API log,False
365,0,0,0,0,ChatGPT,API log,False
366,0,0,0,0,ChatGPT,API log,False
367,0,0,0,0,ChatGPT,API log,False
368,0,0,0,0,ChatGPT,API log,False
369,51,4665,2990,0,ChatGPT,API log,False
370,2,537,1189,0,ChatGPT,API log,False
371,33,3059,2358,0,ChatGPT,API log,False
372,477,43336,29856,0,ChatGPT,API log,False
373,100,9103,6567,0,ChatGPT,API log,False
374,1495,112403,42388,1,ChatGPT,API log,False
375,277,52743,24027,6,ChatGPT,API log,False
376,3459,331397,97218,0,ChatGPT,API log,False
377,464,34056,11054,2,ChatGPT,API log,False
378,89,7738,2656,0,ChatGPT,API log,False
379,3,69,690,0,ChatGPT,API log,False
380,0,0,0,0,ChatGPT,API log,False
381,134,12141,8508,0,ChatGPT,API log,False
382,175,15679,11256,0,ChatGPT,API log,False
383,45,4059,2841,0,ChatGPT,API log,False
384,394,35712,24598,0,ChatGPT,API log,False
385,263,24101,17250,0,ChatGPT,API log,False
386,23,2083,1361,0,ChatGPT,API log,False
387,0,0,0,0,ChatGPT,API log,False
388,0,0,0,0,ChatGPT,API log,False
389,0,0,0,0,ChatGPT,API log,False
390,0,0,0,0,ChatGPT,API log,False
391,48,4369,2415,0,ChatGPT,API log,False
392,68,6173,4232,0,ChatGPT,API log,False
393,627,57316,39344,1,ChatGPT,API log,False
394,701,63557,44774,0,ChatGPT,API log,False
395,565,51326,35874,0,ChatGPT,API log,False
396,613,55591,38546,0,ChatGPT,API log,False
397,584,52599,37845,3,ChatGPT,API log,False
398,502,45815,31913,0,ChatGPT,API log,False
399,441,49272,9370,0,ChatGPT,API log,False
400,4047,1355583,53419,9,ChatGPT,API log,False
401,4594,3165178,160536,6,ChatGPT,API log,False
402,137,416817,23766,0,ChatGPT,API log,False
403,0,0,0,0,ChatGPT,API log,False
404,4,48,42,0,ChatGPT,API log,False
405,1,592,185,0,ChatGPT,API log,False
406,2,20,70,0,ChatGPT,API log,False
407,328,768602,52212,0,ChatGPT,API log,False
408,1239,2742695,215923,12,ChatGPT,API log,False
409,881,2019892,186871,0,ChatGPT,API log,False
410,584,1355400,207354,0,ChatGPT,API log,False
411,494,1125971,200734,3,ChatGPT,API log,False
412,762,1730490,196282,0,ChatGPT,API log,False
413,956,2185550,198726,0,ChatGPT,API log,False
414,397,910971,175563,0,ChatGPT,API log,False
415,0,0,0,0,ChatGPT,API log,False
416,0,0,0,0,ChatGPT,API log,False
417,15,19019,309,10,ChatGPT,API log,False
418,0,0,0,0,ChatGPT,API log,False
419,0,0,0,0,ChatGPT,API log,False
420,605,1332625,68908,2,ChatGPT,API log,False
421,0,0,0,0,ChatGPT,API log,False
422,0,0,0,0,ChatGPT,API log,False
423,123,139198,17618,0,ChatGPT,API log,False
424,18,21448,13561,0,ChatGPT,API log,False
425,407,844397,77986,0,ChatGPT,API log,False
426,1136,2526103,211760,0,ChatGPT,API log,False
427,837,1877151,224801,0,ChatGPT,API log,False
428,686,1791359,248827,16,ChatGPT,API log,False
429,603,1507580,159115,79,ChatGPT,API log,False
430,1448,3972290,383698,15,ChatGPT,API log,False
431,1589,4306544,374563,15,ChatGPT,API log,False
432,954,2823657,390533,0,ChatGPT,API log,False
433,522,1791237,235943,0,ChatGPT,API log,False
434,720,2454898,227527,0,ChatGPT,API log,False
435,964,3301908,244661,0,ChatGPT,API log,False
436,369,1257758,169750,3,ChatGPT,API log,False
437,0,0,0,0,ChatGPT,API log,False
438,0,0,0,0,ChatGPT,API log,False
439,0,0,0,0,ChatGPT,API log,False
440,0,0,0,0,ChatGPT,API log,False
441,0,0,0,0,ChatGPT,API log,False
442,0,0,0,0,ChatGPT,API log,False
443,2,885,483,0,ChatGPT,API log,False
444,0,0,0,0,ChatGPT,API log,False
445,0,0,0,0,ChatGPT,API log,False
446,0,0,0,0,ChatGPT,API log,False
447,1,702,22,0,ChatGPT,API log,False
448,8,2456,1882,0,ChatGPT,API log,False
449,422,1098196,83494,0,ChatGPT,API log,False
450,2711,7563398,624982,0,ChatGPT,API log,False
451,3103,8395603,713583,0,ChatGPT,API log,False
452,2945,7649672,753999,0,ChatGPT,API log,False
453,1598,3096896,350942,113,ChatGPT,API log,False
454,1554,1946891,229597,158,ChatGPT,API log,False
455,3605,6877064,814827,20,ChatGPT,API log,False
456,515,187835,4634,36,ChatGPT,API log,False
457,555,1261413,57055,1,ChatGPT,API log,False
458,0,0,0,0,ChatGPT,API log,False
459,0,0,0,0,ChatGPT,API log,False
460,0,0,0,0,ChatGPT,API log,False
461,0,0,0,0,ChatGPT,API log,False
462,0,0,0,0,ChatGPT,API log,False
463,0,0,0,0,ChatGPT,API log,False
464,365,811769,42091,6,ChatGPT,API log,False
465,657,1487963,79251,12,ChatGPT,API log,False
466,1630,784329,6484,15,ChatGPT,API log,False
467,3184,888542,6595,1,ChatGPT,API log,False
468,3606,1366950,50940,0,ChatGPT,API log,False
469,55,13598,462,0,ChatGPT,API log,False
470,332,768365,65907,6,ChatGPT,API log,False
471,2590,3787818,392185,0,ChatGPT,API log,False
472,4884,8444309,526489,22,ChatGPT,API log,False
473,3184,3631023,310486,0,ChatGPT,API log,False
474,890,462648,92154,2,ChatGPT,API log,False
475,768,403175,77357,3,ChatGPT,API log,False
476,141,16078,24894,0,ChatGPT,API log,False
477,686,179994,1372,0,ChatGPT,API log,False
478,4054,1137258,46755,0,ChatGPT,API log,False
479,3318,3622371,272150,4,ChatGPT,API log,False
480,4036,3709488,362803,6,ChatGPT,API log,False
481,2029,5019449,462888,6,ChatGPT,API log,False
482,1796,4993432,469413,0,ChatGPT,API log,False
483,703,1650768,209829,0,ChatGPT,API log,False
484,473,1051631,195995,0,ChatGPT,API log,False
485,689,1515782,190221,0,ChatGPT,API log,False
486,996,2195416,163220,3,ChatGPT,API log,False
487,1006,1222602,201415,0,ChatGPT,API log,False
488,1383,516336,31558,2,ChatGPT,API log,False
489,3207,880408,6380,4,ChatGPT,API log,False
490,4004,988238,7962,3,ChatGPT,API log,False
491,4885,2473891,134388,0,ChatGPT,API log,False
492,3901,4243196,432218,0,ChatGPT,API log,False
493,1825,3098723,393352,20,ChatGPT,API log,False
494,3990,3002619,220943,0,ChatGPT,API log,False
495,4352,3662631,318284,0,ChatGPT,API log,False
496,5174,3862831,285632,0,ChatGPT,API log,False
497,3622,3903381,284872,0,ChatGPT,API log,False
498,2477,3621608,293977,5,ChatGPT,API log,False
499,3082,8384635,443854,0,ChatGPT,API log,False
500,4779,9206657,561958,4,ChatGPT,API log,False
501,2270,2279497,298621,0,ChatGPT,API log,False
502,2564,5424796,460313,1,ChatGPT,API log,False
503,2356,5206662,424216,0,ChatGPT,API log,False
504,2257,5157264,402934,0,ChatGPT,API log,False
505,3846,7844093,510737,12,ChatGPT,API log,False
506,7,15731,4474,0,ChatGPT,API log,False
507,0,0,0,0,ChatGPT,API log,False
508,0,0,0,0,ChatGPT,API log,False
509,0,0,0,0,ChatGPT,API log,False
510,0,0,0,0,ChatGPT,API log,False
511,0,0,0,0,ChatGPT,API log,False
512,0,0,0,0,ChatGPT,API log,False
513,0,0,0,0,ChatGPT,API log,False
514,229,732358,43825,0,ChatGPT,API log,False
515,455,1483714,155006,0,ChatGPT,API log,False
516,318,1038212,151000,0,ChatGPT,API log,False
517,0,0,0,0,ChatGPT,API log,False
518,0,0,0,0,ChatGPT,API log,False
519,1633,3031435,128120,0,ChatGPT,API log,False
520,5609,6746047,315130,25,ChatGPT,API log,False
521,16074,6394857,1191372,2,ChatGPT,API log,False
522,8341,4979210,1552411,67,ChatGPT,API log,False
523,5296,1424111,947247,0,ChatGPT,API log,False
524,1240,344528,186347,0,ChatGPT,API log,False
525,8303,2927216,1207598,37,ChatGPT,API log,False
526,2274,2709552,255403,0,ChatGPT,API log,False
527,0,0,0,0,ChatGPT,API log,False
528,0,0,0,0,ChatGPT,API log,False
529,0,0,0,0,ChatGPT,API log,False
530,0,0,0,0,ChatGPT,API log,False
531,0,0,0,0,ChatGPT,API log,False
532,0,0,0,0,ChatGPT,API log,False
533,0,0,0,0,ChatGPT,API log,False
534,0,0,0,0,ChatGPT,API log,False
535,0,0,0,0,ChatGPT,API log,False
536,0,0,0,0,ChatGPT,API log,False
537,0,0,0,0,ChatGPT,API log,False
538,0,0,0,0,ChatGPT,API log,False
539,0,0,0,0,ChatGPT,API log,False
540,0,0,0,0,ChatGPT,API log,False
541,0,0,0,0,ChatGPT,API log,False
542,0,0,0,0,ChatGPT,API log,False
543,0,0,0,0,ChatGPT,API log,False
544,0,0,0,0,ChatGPT,API log,False
545,2,62,862,0,ChatGPT,API log,False
546,680,539586,162106,0,ChatGPT,API log,False
547,968,805029,266547,0,ChatGPT,API log,False
548,4097,3395913,1147604,1,ChatGPT,API log,False
549,0,0,0,0,ChatGPT,API log,False
550,1120,892358,371202,46,ChatGPT,API log,False
551,4622,3845700,1893586,2,ChatGPT,API log,False
552,974,866974,1998960,0,ChatGPT,API log,False
553,1104,983679,2364089,0,ChatGPT,API log,False
554,850,684371,1630743,82,ChatGPT,API log,False
555,1084,965960,2260447,0,ChatGPT,API log,False
556,1147,1022138,2377189,0,ChatGPT,API log,False
557,689,613983,1407182,0,ChatGPT,API log,False
558,466,415282,933976,0,ChatGPT,API log,False
559,213,189871,417772,0,ChatGPT,API log,False
560,0,0,0,0,ChatGPT,API log,False
561,0,0,0,0,ChatGPT,API log,False
562,0,0,0,0,ChatGPT,API log,False
563,78,69498,140407,0,ChatGPT,API log,False
564,2826,4559889,1290150,18,ChatGPT,API log,False
565,2435,4034898,867052,86,ChatGPT,API log,False
566,720,648636,1239284,0,ChatGPT,API log,False
567,1712,3454008,944076,0,ChatGPT,API log,False
568,2427,4741813,1439853,0,ChatGPT,API log,False
569,4917,10645916,1618014,0,ChatGPT,API log,False
570,2872,6169568,1545063,0,ChatGPT,API log,False
571,651,578268,1214120,2,ChatGPT,API log,False
572,1471,2165317,1041874,0,ChatGPT,API log,False
573,560,498970,1102010,0,ChatGPT,API log,False
574,544,484733,1021489,0,ChatGPT,API log,False
575,401,356506,720851,1,ChatGPT,API log,False
576,2727,6534364,302000,0,ChatGPT,API log,False
577,3278,8037579,375205,0,ChatGPT,API log,False
578,790,2164768,61102,0,ChatGPT,API log,False
579,0,0,0,0,ChatGPT,API log,False
580,0,0,0,0,ChatGPT,API log,False
581,0,0,0,0,ChatGPT,API log,False
582,0,0,0,0,ChatGPT,API log,False
583,0,0,0,0,ChatGPT,API log,False
584,0,0,0,0,ChatGPT,API log,False
585,0,0,0,0,ChatGPT,API log,False
586,0,0,0,0,ChatGPT,API log,False
587,0,0,0,0,ChatGPT,API log,False
588,0,0,0,0,ChatGPT,API log,False
589,0,0,0,0,ChatGPT,API log,False
590,0,0,0,0,ChatGPT,API log,False
591,0,0,0,0,ChatGPT,API log,False
592,2,226,76,0,ChatGPT,API log,False
593,348,756845,43684,5,ChatGPT,API log,False
594,2,170,434,0,ChatGPT,API log,False
595,0,0,0,0,ChatGPT,API log,False
596,0,0,0,0,ChatGPT,API log,False
597,137,284564,17369,1,ChatGPT,API log,False
598,0,0,0,0,ChatGPT,API log,False
599,0,0,0,0,ChatGPT,API log,False
600,0,0,0,0,ChatGPT,API log,False
601,0,0,0,0,ChatGPT,API log,False
